분류,제목,키워드,URL
지역,"'전남지역 다문화가족 지속 증가'...전남도, 지역사회 연대감 강화 온 힘","전남,지역,다문화,가족,지속,증가,전남도,강화,지역,사회,연대감,국제통합의학박람회장,장흥,국제,통합,의학,박람회장,전남,다문화박람회,개최,전남,지역,다문화,가족,증가,전남도,지역사회,연대감,강화,1일,2일,이틀간,장흥국제통합,의학,박람회장,다문화가족,외국인,주민,2000여명,초청,전남,다문화박람회,개최,사진,어린이,종합,예술,대회,모습,전남,제공,파이낸셜뉴스,전남지역,다문화가족,전남도,내외국인,내외국인,상호,이해,지역,사회,연대감,전남도,전남,지역,다문화,가구,1만,세대,5만,전국,41만,세대,119만,4.4%,차지,지속,증가,다문화가족,적응,지역,사회,조기,맞춤,프로그램,지원,내년,추진,사업,규모,확대,지원,결혼,이민자,취업,다문화,자녀,교육,활동비,지원,집중,예정,1일,2일,이틀간,장흥국제통합,의학,박람회장,다문화가족,외국인,주민,2000여명,초청,전남,다문화박람회,개최,다문화박람회,다양성,만남,주제,문화,인종,존중,지역사회,희망,마당,행사,행사,1일,문화,존중,강조,주제,그림,동시,어린,종합예술대회,자녀들,다문화,가족,초등학생,자녀,참여,2일,마술공연,공연,베트남,전통춤,식전,행사,시작,개회식,유공자,표창,퍼포먼스,진행,유공자,표창식,개선,다문화,인식,다문화사회,기여,12명,외국인,주민,정착,안정,지역,사회,기여,9명,전남도,지사,표창,박람회,초등학교,교육,자녀,향상,학습,지도,능력,전남도,추진,다문화,엄마학교,초등학교,검정고시,합격,32명,다문화,엄마,격려,다문화,가족,부모,친구들,한국어,부모,언어,이야기,경진,대회,이중언어,페스티벌,다문화가족,자녀들,참가,나라,전통춤,댄스,노래,악기,연주,그동안,발산,문화,예술,경연,대회,그동안,세계인,행사,이야기,경진,대회,이중언어,페스티벌,대회,다문화,가족,문화,예술,경연,행정부지사,명창환,전남도,행정부,지사,다문화박람회,다문화,이해,문화,공존,지역사회,연대감,강화,계기",http://www.fnnews.com/news/202411020748546698
정치,"""트럼프 당선되면 즉시 尹이 미국 가서 만나야...'제한적' 핵무장 기회""","트럼프,당선,즉시,미국,제한적,기회,the300,MT리포트,한반도,트럼프,그림자,윤상현,국민의힘,의원,인터뷰,편집,미국,대선,도널드,트럼프,대통령,승기,관측,행정부,트럼프,출범,한국,방위비,분담금,인상,주한,미군,감축,위협,직면,대중국,관세,공격,유탄,시대,번째,트럼프,현실화,생존,방법,아베,신조,일본,총리,당선인,미국,대통령,정상,정상,정상,신뢰관계,구축,의원,윤상현,국민의힘,의원회관,서울,여의도,국회,의원,회관,진행,머니투데이,the300,인터뷰,대선,도널드,트럼프,대통령,공화당,후보,재집권,부통령,카멀라,해리스,민주당,후보,당선,투표,대선,5일,현지시간,지난달,사전투표,진행,당선인,대통령,내년,취임,의원,서울대학교,경제학,졸업,미국,조지타운,대학교,외교,대학원,외교학,석사,조지,워싱턴,대학교,국제,정치,대학원,학위,정치학,박사,취득,국회,외교통일위원장,외교,안보,분야,전문가,4,인천,동구,미추홀구을,당선,고지,일본,동맹,성과,의원,아베,일본,총리,트럼프,대통령,대선,당선,타워,뉴욕,트럼프,개인적,신뢰,구축,밀월,대통령,미국,대통령,당선인,인간,신뢰,아베,총리,트럼프,대통령,당선,신분,외국,지도자,트럼프,집권,미국,대외전략,상황,신뢰,구축,신뢰,의원,실제,일본,트럼프,대통령,재임,미국,동맹국,성과,우리나라,국익,최우선,한미동맹,기조,양국,기조,공통,이익,협력,전략적,대선,결과,한미,동맹,언쉐이커블,unshakable,천명,인간,신뢰,대통령,대통령,대통령,신뢰,구축,신뢰,대통령,사람,특사,파견,외교부,기업,워싱턴,사람,대통령,참모,한국,인맥,의원,트럼프,대통령,당선,경제,안보,관점,대한민국,위기,기회,의원,트럼프,대통령,과거,집권,초기,방위,분담금,가량,달러,요구,재집권,방위분담금,방위,분담금,달러,인상,가능성,배제,트럼프,대통령,미국,전기차,생산,보조금,지급,IRA,인플레이션,감축법,폐기,관세,불리,빅딜,가능성,한국,제한,기회,의원,트럼프,대통령,재집권,대한민국,핵무장,제한,자체,기회,의원,국민,70%,한국,독자,주장,트럼프,정부,국가,안보,보좌관,엘브리지,콜비,한국,핵무장,용인,얘기,가능성,자체,가능,의원,러시아,북한,우크라이나전,파병,대가,첨단군사기술,전수,가능성,북한,ICBM,대륙,탄도,대기,확보,게임,체인저,트럼프,북한,협상,빅딜,가능성,북한,대기,확보,미국,본토,미국,북한,대기,제거,북한,폐기,주장,수준,동결,미국,본토,핵무기,인정,재앙,북한,연평도,포격,반격,발사,검토,의원,공포,균형,자체,북한,폐기,폐기,카드,제한,무장,트럼프,북한,빅딜,주한미군,철수,제한,카드,미국,한국,보유,승인,NPT,핵확산금지조약,체제,국제사회,제재,의원,트럼프,행정부,주한,미군,감축,규모,전망,의원,미국,러시아,중국,견제,한국,미군,주둔,미국,대통령,철수,참모들,반대,감축,주한,미군,철수,하원,권한,국방수권법,NDAA,2만,주한미군,2만,감축,규정,의원,대외적,대비,대한민국,수출,다변,강조,의원,트럼프,대통령,집권,수입품,보편적,관세,적용,대미,의존도,수출,다변,유럽,아세안,인도,개척,신흥,시장,기업,리쇼어링,해외,진출,제조,정책,성공,반도체,배터리,자동차,수출,산업,내수,경쟁력,강화,수출,다변,중국,의존도,완화,관점,중요,견제,트럼프,집권,대중국,동참,양자택일,상황,중국,보복",http://news.moneytoday.co.kr/view/mtview.php?no=2024110118544112108&type=2
국제,[ETF언박싱]“트럼프든 해리스든 수혜” 美방산주↑,"트럼프,해리스,수혜,방산주,미래에셋운용,TIGER,미국방산,TOP,록히드마틴,RTX,집중투자,70%,집중,투자,기조,방위비,증액,최대수혜,기업,미국,대선,후보,민주당,대선,부통령,카멀라,해리스,후보,공화당,대선,도널드,트럼프,대통령,초박빙,대결,주식시장,대선,결과,수혜주,대응,관심,방산주,주목,미래에셋자산운용,미국방산TOP10,TIGER,미국방산,TOP,상장지수펀드,ETF,상장,ETF,미국,방산,상위,종목,선별,투자,록히드마틴,20%,RTX,노스롭그루먼,기업,제너럴,다이나믹스,투자,비중,70%,수준,테크놀로지,이외,해리스,보잉,인더스트리즈,헌팅턴,잉걸스,엘빗,시스템즈,솔루션스,크라토스,디펜스,시큐리티,머큐리시스템즈,투자,러시아,우크라이나,전쟁,중동,전쟁,세계,지정학,리스크,방산주,관심,미래에셋자산운용,기업,미국,방산,매출,방산업체,세계,37%,가량,차지,만큼,우위,각국,기조,방위비,증액,최대,수혜,주목,공화당,민주당,군비,확장,방위산업,대선,수혜,업종,연구원,박승진,하나증권,러시아,우크라이나,전쟁,중동,지역,전쟁,세계,지정학,리스크,지속,편성,증액,예산,각국,국방,수혜,방산,테마,ETF,결과,대선,장기화,가능성,상황,흐름들,관심,분야",http://www.edaily.co.kr/news/newspath.asp?newsid=01840086639081784
경제,주유소 기름값 3주 연속 상승 휘발유 1600원 돌파,"상승,주유소,기름,연속,휘발유,돌파,유가,동향,휘발유,1600.2원,경유,1428.7원,전주,대비,휘발유,경유,6.4원,주유소,휘발유,경유,가격,주간,평균,연속,동반,상승,휘발유,평균,판매,가격,리터,1600원,한국석유공사,유가,정보,오피넷,10월,27~31일,판매가격,전국,주유소,휘발유,평균,판매,가격,1600.2원,전주,7.1원,최고,지역,서울,휘발유,평균,가격,전주,대비,상승,1670.2원,70.0원,전국,평균,가격,대비,수준,최저,지역,대구,상승,1566.8원,33.4원,전국,평균,가격,대비,상표별,SK에너지주유소,1610.2원,가격,알뜰,주유소,평균,1571.9원,경유,기준,SK에너지주유소,1438.9원,알뜰,주유소,평균,가격,1403.3원,경유,평균,판매,가격,전주,상승,1428.7원,집계,국제,이스라엘,제한적,보복,중동,하락세,가격,수입,원유,기준,두바이유,가격,평균,2.6달러,전주,대비,달러,배럴,달러,기록,국제,휘발유,평균,가격,2.7달러,76.9달러,국제,자동차,경유,가격,1.3달러,85.8달러,서울,시내,주유소,시민들,차량,주유",http://www.edaily.co.kr/news/newspath.asp?newsid=01843366639081784
스포츠,"고진영, LPGA 토토 재팬 2R 선두권 4차타 공동 5위","고진영,선두권,LPGA,토토,재팬,선두,4차타,공동,아시아투데이,이장원,고진영,일본,진행,미국여자프로골프,LPGA,투어,토토,재팬,클래식,상금,200만,달러,3라운드,선두권,시작,고진영,일본,코스,세타,골프,파72,대회,2언더,70타,중간,9언더,135타,공동,일본,선두,와키모토,차이,첫날,선두,와키모토,2타,타수,우승,사정권,고무적,고진영,후유증,어깨,부상,모습,선두,와키모토,일본여자프로골프,JLPGA,투어,우승,선수,상금랭킹,30위,이날,4언더,선두,노예림,미국,교포,7언더,65타,에리야,쭈타누깐,태국,공동,11언더,133타,추격,유해,이날,공동,8언더,136타,10위,김효주,이미향,공동,7언더,137타,신지애,공동,6언더,138타,자리",https://www.asiatoday.co.kr/view.php?key=20241102010000445
사회,"유명 필라테스 강사 양정원, 사기 혐의로 고소당해","유명,필라테스,강사,양정원,사기,혐의,고소,필라테스,강사,방송,가맹점주들,필라테스,학원,가맹점주,사기,혐의,고소,강남경찰서,서울,사기,혐의,가맹,사업법,위반,다수,피해자,고소장,접수,7월,필라테스,학원,관계자,입건,조사,교육이사,홍보모델,필라테스,학원,가맹점주들,고소장,제출,가맹점주들,교육,강사진,가맹점,파견,노하우,공유,계약,주장,시중,2600만,판매,필라테스,기구,6200만,강제,구매,주장,홍보모델,초상,계약,진행,사업,입장,조사,경찰,소환,파악,경찰,관계자,피의자,순차적,조사",https://www.donga.com/news/Society/article/all/20241102/130346295/2
문화,"충북교육도서관, 어린이책 작가 초청 프로그램 운영","충북교육도서관,운영,어린이,작가,초청,프로그램,백운학,교육도서관,충북교육청,직속,기관,교육,도서관,11월,베스트셀러,어린이,작가,만남,어린이들,독서,흥미,창의력,특별,마련,프로그램,유명,작가,초청,어린이들,이야기,작가,소통,이해,어린이,작가,만남,포스터,사진,충북교육청,작가,코너,아이들,궁금증,해결,작가,창작,준비,릴레이,작가,만남,토요일,진행,2일,알바트로스,신유미,작가,피아노,연주,흥미,강의,진행,9일,씨앗,폭탄,이묘신,작가,고민,책방,이주희,작가,해리엇,한윤섭,작가,참여,자신,중심,아이들,특별,예정,이종수,교육,도서관장,프로그램,가족,소통,아이들,즐거움",https://www.newspim.com/news/view/20241102000014
지역,"제주, 11월에 300㎜ 비 101년 만에 가장 많은 강수량","제주,11월,101년,강수량,제주,이틀간,최대,지역,101년,관측,이래,강수량,기록,제주,지방,상청,이날,6시,강수량,산천단,북부중산간,성산,동부,오등,북부,송당,북부중산간,280.5,와산,북부중산간,제주,북부,제주기상청,274.7,고산,서부,156.1,서귀포,남부,150.7,한라산,진달래밭,성판악,삼각봉,제주,북부,제주기상청,지점,강수량,238.4,1923년,지점,기상관측,시작,기록,이래,101년,강수량,기록,종전,기록,18일,성산,동부,고산,고산,강수량,242.1,138.4,종전,최고,서귀포,남부,강수량,기록,3번,바람,피해,나무,도로,건물,침수,하수구,역류,10시,제주도,소방,안전,본부,기상특보,기상,특보,신고,접수,기상청,제주,성산,200년,정도,강수량,기록적,가을,폭우,원인,콩레이,태풍,태풍,콩레이,북태평양,한반도,우측,기압,사이,통로,수증기,다량,유입,해상,제주도,남쪽,비구름대,비구름대,이동,강수,지속,기상청,설명",https://www.khan.co.kr/national/national-general/article/202411020827001
정치,"민주당, ‘김건희 여사 국정농단’ 규탄 장외집회","민주당,국정농단,김건희,여사,국정,농단,규탄,장외,집회,더불어민주당,2일,서울역,일대,김건희,국정,농단,규탄,국민,대회,민주당,검찰,불기소,여사,규탄,여권,특검법,여사,수용,촉구,방침,민주당,국회,전국,지역,위원장,국회의원,비상,연석회의,국정,농단,진상,규명,김건희,특검법,완수,국민,열망,정권,심판,국민,행동,개시,돌입,결의문,채택,민주당,특검법,완수,서명,운동,병행,장외,투쟁,추후,탄핵,하야,여론전,확대,가능성,제기,대표,이재명,민주당,최고,선거,선거,국정,불법,횡행,불법,정권,국민,정권,비판,민주당,조국혁신당,진보당,야권,탄핵,주장,공식적,거리,탄핵,추진,역풍,판단",http://biz.heraldcorp.com/view.php?ud=20241102050005
지역,[전북 이슈+] 위기의 핫플-'객리단길 마저도' 전북 상권 5곳 중 1곳 '텅텅',"위기,핫플,객리단길,5곳,전북,상권,1곳,공실률,전북,지역,상업,부동산,공실,전국,평균,플레이스,거리,전주,객리,단길,조현욱,코로나19,조현욱,고금리,물가,바람,전국적,임차인,상가,속출,공실률,전북,지역,상업,부동산,공실,전국,평균,한국부동산원,상업,부동산,임대,동향,조사,결과,전북,지역,중대,상가,공실,18.2%,9개,상가,1곳,공실률,상가,공실,7.2%,집합,상가,16.3%,전국,공실,12.7%,6.5%,10.1%,비교,전북자치,상권,공실률,상가,공실,정읍,중심,27.94%,상가,3층,연면적,초과,일반,건축물,정읍,중심,익산역,26.86%,전주,동부,26.30%,김제시장,22.44%,전주,한옥,마을,21.69%,익산,영등,부송,19.58%,전주,송천동,17.50%,군산,수송,조촌동,14.86%,신시가지,전주,서부,14.35%,군산,원도심,13.89%,남원,광한루원,13.73%,전주,서부,9.59%,비교,임대료,상가,공실률,조사,전주,송천동,15.44%,군산,원도심,15.30%,정읍,중심,13.87%,익산역,10.26%,전북,전역,공실,그림자,의미,중대형,소규모,상가,비율,소상공인,종사,경기,여건,소상공인,정도,경기,체감,지표,활용,체감경기지수,소상공인,시장,경기,동향,조사,결과,지난달,전북,소상공인,체감,경기,지수,11.5,전월,대비,11.5,하락,60.2,전국,최저,기록,플레이스,hot,place,전주,객리,단길,전북대,대학로,신도심,만성지구,에코시티,익산역,군산,나운동,영동상가,예외,객리단길,시민,관광객,객리단길,옥토주차장,폐쇄,주차난,고물가,요인,복합적,작용,상권,침체,객리단길,운영,상인,코로나19,엔데믹,상권,활성화,사실,얼마,토로,전문가들,경기,침체,공급,상가,과잉,상가,공실,전북특별자치,김규원,한국공인중개사협회,전북,특별,자치,회장,세대,과거,베이비부머,은퇴,시작,노후,대비,차원,상가,투자,공급,상가,코로나19,상황,경기,침체,수요,상가,공실,공급,상가,과잉,경기,침체,고금리,코로나19,확산,전자,상거래,핫플레이스,신도심,예외,공실,사회관계망서비스,SNS,이슈,특정,상황",https://www.jjan.kr/article/20241031580378
국제,"“나라 망신” 50대 한국男, 태국서 택시 훔쳐 “비틀거렸다”","나라,망신,50대,한국,태국,택시,한국인,남성,태국,방콕,주차,택시,혐의,체포,채널7,태국,매체,채널,더타이거,현지,언론,1일,현지시간,보도,지난달,현지시간,A씨,지역,주유소,근처,택시,채널7,공개,폐쇄회로,CC,TV,영상,택시,운전사,왼쪽,차선,셔츠,A씨,택시,접근,탑승,택시,기사,운전자,도움,요청,A씨,속도,현장,택시,기사,주유소,편의점,시동,도난,예상,A씨,정도,철도,건널,방호벽,경찰,체포,마약,경찰,조사,A씨,현금,달러,83만,마약,소지,경찰,약물,검사,음주,검사,확인,결과,태국,지난달,도착,한국,예정,현지,언론,A씨,태국,형법,타인,재산,손상,파괴,파괴,행위,벌금,최대,징역,최대,바트,벌금,타인,형법,재산,행위,벌금,최대,징역,최대,바트,벌금,혐의,적용",http://www.seoul.co.kr/news/newsView.php?id=20241102500003
문화,"[전북 이슈+] 위기의 핫플-""완전 작살났죠""⋯와르르 무너진 '젊음의 명소'","위기,핫플,완전,젊음,명소,플레이스,전주,객리단길,사람,조현욱,조현욱,플레이스,hot,place,상권,코로나19,침체,상권,엔데믹,활성화,고금리,물가,이중고,지역,상권,침체,과거,사람,거리,공실,전국,대표적,전국,대표,상권,핫플,매력,전북,공실률,상황,전북,대표,핫플,상권,현실,전북일보,위기,기획,핫플,객리단길,5곳,전북,상권,1곳,바탕,핫플,객리단길,전북대,대학로,군산,영동상가,나운동,익산역,상황,지난주,전주,객리,단길,A씨,요즘,장사,질문,코로나19,장사,정도,고개,골목,상가,상가,예외,임대,플래카드,유동,인구,코너,상가,상가,준비,오픈,플래카드,과거,음식점,카페,자리,지출,비교,고정,사진관,무인,셀프,오락실,침체,객리단길,현실,명소,의미,플레이스,hot,place,만큼,장사,음식점,카페,극소수,객리단길,사람,내부,사람,지역,전주,구도심,구역,해제,조성,객리단길,청년,사업가,젊은이들,객리단길,상권,코로나19,옥토,주차장,폐쇄,주차난,고물가,요인,복합적,작용,속도,침체,과거,객리단길,객사,전주,대표,최고,핫플,전주시민,객사,정도,전주,중심부,위치,만남,장소,자리매김,상권,침체,명성,상인,건물,폐업,객리단길,초반,개인,사업자,운영,상가,벌이,프랜차이즈,시작,상황,반복,설명,젊음,성지,전북대,대학로,사람,조현욱,학기,전공,서적,후배,젊음,성지,대학로,활력,서부,상권,학생,코로나19,확산,문화,정착,대학로,침체,한몫,음식점,카페,커피,코로나19,포장,배달,문화,형태,객리단길,유동,인구,북적,과거,비교,천지,차이,상인,설명,대학로,유동,인구,객리단길,유사,내부,사람,수석부회장,최유일,전북대,대학로,상인회,수석,부회장,상가가,요즘,대학로,10년,매출,절반,조금씩,코로나19,엔데믹,활기,사람,손님,매출,임대료,인건비,고정,지출,부담,군산,익산,예외,군산,상권,상징,영동,상가,매장,20여,명맥,유지,상황,일대,공간,분위기,연출,나운동,시민문화회관,상가,과거,뷰티샵,의류매장,스포츠웨어,매장,운영,상가,임대,안내판,현상,지역,과거,중심,상권,영동,원도심,중심,지역,확산,비교,상권,자랑,수송동,점포,발견,경기,불황,시민들,경기불황,지속,원도심,지역,슬럼,현상,발생,명동,정도,상업,금융,문화,중심지,익산역,문화예술,익산역,문화,예술,거리,영정통,1990년대,신도심,익산,중심,영등,부송동,일대,활력,어깨,정도,사람,번화가,명성,익산시,과거,영광,의지,문화예술,거리,조성,예산,입점,공방,카페,식당,단발,행사,사람들,예전,모습,상황,거리,자리,익산아트센터,익산근대역사관,활성화,익산시,전략적,추진,조성,입주,인근,세대,규모,아파트,내년,상황,전망,예전,활력,실정",https://www.jjan.kr/article/20241101580141
경제,“미리 넣을걸” 주유소 휘발유 1600원대 돌파 다음 주엔 더 뛴다,"1600원,주유소,휘발유,돌파,기름값,주유소,기름,상승,연속,휘발유값,전국,평균,휘발유,1600원,돌파,유류세,인하,축소,기름,본격적,상승세,전망,상승,주유소,기름,연속,휘발유,1600원,돌파,한국석유공사,유가,정보,서비스,오피넷,10월,가격,기준,휘발유,평균,판매,리터,전주,대비,상승,전국,최고가,가격,서울,판매,전주,대비,상승,1670.2원,전국,최저가,대구,전주,대비,상승,1566.8원,집계,상표별,알뜰주유소,1571.9원,리터,평균,SK,에너지,주유소,1610.2원,판매,기간,전국,주유소,경유,리터,직전,대비,경유,가격,알뜰,주유소,평균,1403.3원,SK,에너지,주유소,1438.9원,주유소,휘발유,경유,가격,주간,평균,연속,동반,상승,기름,이달,시행,조치,유류세,인하,축소,인상,흐름,산업통상자원부,지난달,석유,시장,점검,회의,유류세,환원,결정,이달,리터당,휘발유,42원,경유,41원,액화석유가스,LPG,요인,인상,발생,주유소,비축,물량,소진,유류세,인하,만큼,기름,주유소,공급,재고,물량,소진,정도,가격,상승세,전망,국제,이스라엘,제한적,보복,중동,하락,기준,수입,원유,가격,두바이유,배럴,달러,직전,하락,대비,달러,기간,국제,휘발유,가격,2.7달러,76.9달러,자동차,경유,달러,하락,85.8달러,국제,유가,변동,3주,가량,차이,가격,주유소,반영,대한석유,협회,관계자,국제,석유,제품,가격,자체,보합세,약세,가격,유류세,인하,축소,반영,인상,자극,흐름,가격,상승",http://www.segye.com/content/html/2024/11/02/20241102502503.html
사회,뼛속에 구멍 생기는 ‘골다공증’ 이렇게 예방하세요,"뼛속,구멍,골다공증,예방,골다공증,骨多孔症,밀도,감소,강도,골절,취약,질환,골다공증,특별,증상,골절,합병증,동반,본인,자각,골절,사이,척추,허리,통증,병원,교수,전상현,가톨릭대학교,인천성모병원,정형외과,골다공증,골절,연결,기침,충격,골절,고관절,골절,수술,오랫동안,심부정맥혈전증,폐색전증,발생,위험,증가,경고,건강보험심사평가원,골다공증,진료,사람,127만,대비,18.2%,성별,기준,여성,비율,94.3%,여성,완경,폐경,전후,골밀도,골다공증,연령대,60대,35.6%,31.5%,80대,18.7%,18.7%,골다공증,노화,가족력,완경,류마티스관절염,흡연,음주,원인,발생,여성,완경,보호,여성호르몬,에스트로겐,칼슘,부족,식생활,비타민,결핍,비타민,운동,부족,흡연,음주,생활,습관,골밀도,영향,전상현,교수,사람들,골다공증,노화,결과,치료,골다공증,방심,골절,움직임,평상시,건강,생활,습관,영위,골다공증,예방,칼슘,비타민,적정,단백질,섭취,자신,운동,강조,골다공증,예방,운동,중요,규칙적,운동,근육,강화,균형,능력,향상,골다공증,골절,예방,효과,그중,운동,체중,부하,근력운동,운동,체중,부하,조깅,계단,운동,관절,상태,심폐,지구력,개인,상태,운동량,점진적,최대,맥박,40~70%,정도,유지,운동,지속,시간,최소,일주일,3일,근력운동,윗몸,스쿼트,요가,기구,이용,웨이트트레이닝,가능,웨이트트레이닝,강도,시작,강도,휴식,교수,고령자,준비,정리운동,유산소,운동,근력운동,소요,정도,운동,프로그램,구성,운동,긍정적,효과,운동,중단,시행,효과,유지,식습관,관리,중요,건강,도움,칼슘,비타민,섭취,칼슘,식품,우유,유제품,치즈,요구르트,우유,발효,음료,뼈째,생선,멸치,식품,섭취,칼슘,비타민,보충제,비타민,사용,남녀,칼슘,800~1000,비타민,800IU,섭취,800IU,권고,전상현,교수,완경,여성,노년,남성,골다공증,위험,골절,발생,가족력,완경,골절,경험,위험인자,정기,골밀,검사,전문,상담,관리,골다공증,방치,골절,만큼,치료,중단,치료,관리,강조",http://www.edaily.co.kr/news/newspath.asp?newsid=01833526639081784
지역,[전북 이슈+] 위기의 핫플-'명소' 꿈꾼 신도심 상권도 '공실 공포',"위기,핫플,명소,신도심,상권,공실,공포,전주,만성,지구,건물,매매,플래카드,조현욱,상권,핫플,생각,사람,신도심,랜드마크,상권,희망,사업,시작,핫플,신도심,공실,공포,랜드마크,좌절,핫플,객리단길,전북대,대학로,침체,신도심,만성지구,개장,랜드마크,기대감,건물,에코시티,상황,사람,지난주,전주,만성,지구,자동차,사람,거리,상가,사람,테이블,손님,테이블,상가,만성지구,조성,전주지방법원,조성,전주지방검찰청,법조타운,전북,행정,중심지,발달,상권,활성,기대감,임대,딱지,상인들,선호,1층,공실,법조타운,건물,상가,변호사,법무사,사무실,이날,만성,지구,시민,9시,사람,착각,장사,음식점,사람들,장사,생각,음식점,마음,전주,에코시티,상가,임대,플래카드,박현우,에코시티,박현우,위치,건물,대형,상가,만성지구,상황,개장,소식,SNS,입점,지역,역할,아울렛,시민들,공실,공포,건물,폐업,정리,상가,상가,출입문,배달,안내서,우편물,도착,상가,손잡이,출입문,보호,스티로폼,에코시티,시민,주변,영화,사람,영화관,전용관,혼자,건물,생각,상가,상가,토로",https://www.jjan.kr/article/20241031580003
지역,"LH, 주택건설 하도급사와 상생협력 간담회","LH,주택,건설,하도급사,상생,협력,간담회,LH,광주전남,지역,본부,하도급사,주택,건설,상생,협력,간담회,제공LH,LH,광주전남,지역,본부,제공,LH,한국토지주택공사,광주전남지역본부,하도급사,주택,건설,상생,협력,간담회,소통강화,공정,하도급,거래,질서,확립,협력,LH,하도급사,수평,협력,유지,간담회,주택,건설,하도,급사,대상,추진,간담회,하도급사,실질적,애로사항,불공정,관행,의견,관행,변경,하도급,제도,현장,사항,안내,LH관계자,하도급사,권익보호,공정,건설,환경,조성,현장,지속적,소통",www.namdonews.com/news/articleView.html?idxno=796347
지역,"광주시교육청, 등굣길 학교폭력예방 캠페인","광주시교육청,캠페인,등굣길,학교,폭력,예방,광주시교육청,광주경찰청,만호초등학교,정문,학생,학부모,교직원,지역사회,참여,캠페인,학교,폭력,예방,진행,캠페인,이정선,교육감,박성주,광주,경찰청장,구성원,만호초등학교,교육,공동체,참여,폭력,학교,친구,주제,진행,참가자들,플래카드,피켓,활용,예방,학교,폭력,중요성,사회적,이슈,디지털성,범죄,딥페이크,예방,활동,진행,이정선,교육감,캠페인,학교폭력,디지털성,범죄,딥페이크,예방,관심,확산,경찰청,지역사회,협력,학생들,평화,행복,성장,환경,조성",www.namdonews.com/news/articleView.html?idxno=796310
정치,"윤 대통령, 시정연설 불참 가닥 11년 만에 총리 대독","대통령,가닥,시정,연설,불참,11년,총리,대독,대통령실,윤석열,대통령,킨텍스,지난달,경기도,고양시,대한민국,소상공인,대회,개막식,참석,축사,윤석열,대통령,국회,예산안,국회,시정,연설,불참,대통령,시정연설,대독,예산안,시정,연설,2013년,11년,비서실장,정진석,대통령,국회,운영,위원회,국정,감사,윤석열,대통령,시정연설,예정,의원,더불어민주당,전용기,질문,국무총리,비서실장,대통령,시정,연설,총리,그동안,정치,특검법,김건희,여사,명태균,정치,브로커,명태균,통화,여야,대립,대통령,시정연설,불참,가능성,관측,제기,국무총리실,대통령,시정연설,가능성,대비,총리,연설문,대독,실무,작업,진행,시정연설,정부,예산안,국회,제출,연설,노태우,대통령,시작,대통령,예산안,시정,연설,관례,박근혜,정부,이명박,정부,첫해,취임,대통령,시정연설,국무총리,대독,대통령,탄핵,임기,예산안,시정,연설,정부,정책,기조,설명,문재인,대통령,연속,예산안,시정,연설,대통령,9월,국회,개원식,참석,민주,현직,대통령,국회,개원식,불참,대통령실,특검,탄핵,남발,국회,정상화,대통령,초대,배경,개원식,불참",https://www.busan.com/view/busan/view.php?code=2024110208180607662
스포츠,"'LPGA 통산 8승' 린시컴 ""올해가 마지막 풀 타임 시즌 될 것""","8승,LPGA,통산,린시컴,마지막,마지막,타임,시즌,포함,차례,메이저,대회,우승,거둬,미국여자프로골프,LPGA,투어,통산,브리트니,린시컴,39,은퇴,의사,LPGA,투어,인터넷,홈페이지,2일,한국,린시컴,자신,시즌,마지막,풀타임,린시컴,무대,시즌,LPGA,투어,마지막,미국,플로리다주,벨에어,개막,안니카,드리븐,대회,초청,선수,참가,투어,입문,린시컴,차례,메이저,대회,우승,포함,통산,선수,미국,유럽,여자,골프,대항전,솔하임컵,미국,대표,부단장,린시컴,LPGA,투어,경험,고향,플로리다주,시즌,마지막,풀타임,영광,골프위크,인터뷰,은퇴,대회",http://www.sedaily.com/NewsView/2DGOSN80EN
경제,기름값 3주 연속 상승 휘발유 1600원대,"기름,연속,상승,휘발유,1600원,아시아투데이,이서연,휘발유,가격,경유,평균,상승,연속,한국석유공사,유가,정보,오피넷,10월,27~31일,판매,전국,주유소,휘발유,평균,직전,직전,대비,리터,상승,1600.2원,기록,10월,1500원,4주,1600원,진입,가격,서울,직전,9.4원,1670.2원,가격,대구,10.8원,1566.8원,집계,판매가격,경유,평균,판매,가격,상승,1428.7원,국제,중동,영향,하락,두바이유,직전,2.6달러,대비,배럴,달러,71.6달러,기록,가격,국제,휘발유,달러,하락,76.9달러,경유,국제,자동차,1.3달러,85.8달러,집계,국제,유가,변동,2~3주,가량,차이,가격,주유소,반영",https://www.asiatoday.co.kr/view.php?key=20241102010000444
